fsm,wis,ois,wisp,oisp,7676,134524,226452,334353,449872,543342,636439,74765,93925383,103539682,median
--nstates 4 --s0 3 --n0 1 --n0x0 0 --c0x0 4 --p0x0 10 --w0x0 3.5 --s1 0 --rwm1 1 --n1 2 --n1x0 1 --c1x0 0 --p1x0 0.719 --n1x1 0 --c1x1 2 --p1x1 0.753 --s2 2 --n2 2 --n2x0 0 --c2x0 2 --p2x0 0.029 --n2x1 2 --c2x1 2 --p2x1 0.09 --s3 3 --n3 4 --n3x0 0 --c3x0 2 --p3x0 0.2 --n3x1 0 --c3x1 4 --p3x1 5 --w3x1 11.23 --n3x2 1 --c3x2 5 --p3x2 0.681 --n3x3 0 --c3x3 4 --p3x3 10 --w3x3 1.02 ,45.487,8.02289e+23,44.192,7.79442e+23,43.0,51.0,52.0,49.0,47.0,48.0,50.0,46.0,53.0,39.0,48.5
--nstates 4 --s0 3 --n0 1 --n0x0 0 --c0x0 4 --p0x0 10 --w0x0 3.5 --s1 0 --rwm1 1 --n1 2 --n1x0 1 --c1x0 0 --p1x0 0.124 --n1x1 0 --c1x1 2 --p1x1 0.183 --s2 2 --n2 2 --n2x0 0 --c2x0 2 --p2x0 0.252 --n2x1 2 --c2x1 2 --p2x1 0.541 --s3 3 --n3 4 --n3x0 0 --c3x0 2 --p3x0 0.29 --n3x1 0 --c3x1 4 --p3x1 7 --w3x1 11.23 --n3x2 1 --c3x2 5 --p3x2 0.019 --n3x3 0 --c3x3 4 --p3x3 1 --w3x3 1.02 ,47.393,0.012,46.29,0.012,46.0,40.0,47.0,38.0,38.0,49.0,36.0,41.0,44.0,43.0,42.0
--nstates 4 --s0 3 --n0 1 --n0x0 0 --c0x0 4 --p0x0 4 --w0x0 3.5 --s1 0 --rwm1 1 --n1 2 --n1x0 1 --c1x0 0 --p1x0 0.669 --n1x1 0 --c1x1 2 --p1x1 0.555 --s2 2 --n2 2 --n2x0 0 --c2x0 2 --p2x0 0.538 --n2x1 2 --c2x1 2 --p2x1 0.987 --s3 3 --n3 4 --n3x0 0 --c3x0 2 --p3x0 0.113 --n3x1 0 --c3x1 4 --p3x1 8 --w3x1 11.23 --n3x2 1 --c3x2 5 --p3x2 0.434 --n3x3 0 --c3x3 4 --p3x3 4 --w3x3 1.02 ,50.912,1110860000000.0,49.443,1078810000000.0,44.0,52.0,53.0,49.0,47.0,52.0,50.0,47.0,49.0,45.0,49.0
--nstates 4 --s0 3 --n0 1 --n0x0 0 --c0x0 4 --p0x0 2 --w0x0 3.5 --s1 0 --rwm1 1 --n1 2 --n1x0 1 --c1x0 0 --p1x0 0.849 --n1x1 0 --c1x1 2 --p1x1 0.786 --s2 2 --n2 2 --n2x0 0 --c2x0 2 --p2x0 0.228 --n2x1 2 --c2x1 2 --p2x1 0.849 --s3 3 --n3 4 --n3x0 0 --c3x0 2 --p3x0 0.692 --n3x1 0 --c3x1 4 --p3x1 6 --w3x1 11.23 --n3x2 1 --c3x2 5 --p3x2 0.116 --n3x3 0 --c3x3 4 --p3x3 2 --w3x3 1.02 ,53.343,9.63476e+27,51.796,9.355399999999999e+27,39.0,46.0,45.0,42.0,47.0,51.0,50.0,48.0,52.0,51.0,47.5
--nstates 4 --s0 3 --n0 1 --n0x0 0 --c0x0 4 --p0x0 2 --w0x0 3.5 --s1 0 --rwm1 1 --n1 2 --n1x0 1 --c1x0 0 --p1x0 0.508 --n1x1 0 --c1x1 2 --p1x1 0.956 --s2 2 --n2 2 --n2x0 0 --c2x0 2 --p2x0 0.221 --n2x1 2 --c2x1 2 --p2x1 0.789 --s3 3 --n3 4 --n3x0 0 --c3x0 2 --p3x0 0.229 --n3x1 0 --c3x1 4 --p3x1 3 --w3x1 11.23 --n3x2 1 --c3x2 5 --p3x2 0.843 --n3x3 0 --c3x3 4 --p3x3 2 --w3x3 1.02 ,53.027,7.82839e+35,51.491,7.60154e+35,51.0,47.0,56.0,51.0,48.0,52.0,50.0,59.0,51.0,43.0,51.0
--nstates 4 --s0 3 --n0 1 --n0x0 0 --c0x0 4 --p0x0 7 --w0x0 3.5 --s1 0 --rwm1 1 --n1 2 --n1x0 1 --c1x0 0 --p1x0 0.726 --n1x1 0 --c1x1 2 --p1x1 0.161 --s2 2 --n2 2 --n2x0 0 --c2x0 2 --p2x0 0.328 --n2x1 2 --c2x1 2 --p2x1 0.247 --s3 3 --n3 4 --n3x0 0 --c3x0 2 --p3x0 0.882 --n3x1 0 --c3x1 4 --p3x1 9 --w3x1 11.23 --n3x2 1 --c3x2 5 --p3x2 0.911 --n3x3 0 --c3x3 4 --p3x3 9 --w3x3 1.02 ,48.1,0.05,46.735,0.049,53.0,42.0,46.0,50.0,47.0,51.0,39.0,51.0,55.0,45.0,48.5
--nstates 4 --s0 3 --n0 1 --n0x0 0 --c0x0 4 --p0x0 3 --w0x0 3.5 --s1 0 --rwm1 1 --n1 2 --n1x0 1 --c1x0 0 --p1x0 0.431 --n1x1 0 --c1x1 2 --p1x1 0.512 --s2 2 --n2 2 --n2x0 0 --c2x0 2 --p2x0 0.115 --n2x1 2 --c2x1 2 --p2x1 0.115 --s3 3 --n3 4 --n3x0 0 --c3x0 2 --p3x0 0.46 --n3x1 0 --c3x1 4 --p3x1 10 --w3x1 11.23 --n3x2 1 --c3x2 5 --p3x2 0.245 --n3x3 0 --c3x3 4 --p3x3 7 --w3x3 1.02 ,43.37,272602.0,44.087,277111.0,45.0,60.0,48.0,50.0,42.0,46.0,49.0,51.0,49.0,41.0,48.5
--nstates 4 --s0 3 --n0 1 --n0x0 0 --c0x0 4 --p0x0 5 --w0x0 3.5 --s1 0 --rwm1 1 --n1 2 --n1x0 1 --c1x0 0 --p1x0 0.935 --n1x1 0 --c1x1 2 --p1x1 0.664 --s2 2 --n2 2 --n2x0 0 --c2x0 2 --p2x0 0.555 --n2x1 2 --c2x1 2 --p2x1 0.51 --s3 3 --n3 4 --n3x0 0 --c3x0 2 --p3x0 0.176 --n3x1 0 --c3x1 4 --p3x1 2 --w3x1 11.23 --n3x2 1 --c3x2 5 --p3x2 0.801 --n3x3 0 --c3x3 4 --p3x3 4 --w3x3 1.02 ,49.04,1.29865e+20,47.631,1.26134e+20,48.0,52.0,53.0,51.0,51.0,49.0,50.0,46.0,46.0,51.0,50.5
--nstates 4 --s0 3 --n0 1 --n0x0 0 --c0x0 4 --p0x0 5 --w0x0 3.5 --s1 0 --rwm1 1 --n1 2 --n1x0 1 --c1x0 0 --p1x0 0.779 --n1x1 0 --c1x1 2 --p1x1 0.71 --s2 2 --n2 2 --n2x0 0 --c2x0 2 --p2x0 0.336 --n2x1 2 --c2x1 2 --p2x1 0.675 --s3 3 --n3 4 --n3x0 0 --c3x0 2 --p3x0 0.734 --n3x1 0 --c3x1 4 --p3x1 2 --w3x1 11.23 --n3x2 1 --c3x2 5 --p3x2 0.607 --n3x3 0 --c3x3 4 --p3x3 10 --w3x3 1.02 ,50.847,4.94617e+23,49.381,4.80351e+23,50.0,49.0,54.0,44.0,53.0,52.0,41.0,43.0,59.0,38.0,49.5
--nstates 4 --s0 3 --n0 1 --n0x0 0 --c0x0 4 --p0x0 5 --w0x0 3.5 --s1 0 --rwm1 1 --n1 2 --n1x0 1 --c1x0 0 --p1x0 0.366 --n1x1 0 --c1x1 2 --p1x1 0.939 --s2 2 --n2 2 --n2x0 0 --c2x0 2 --p2x0 0.238 --n2x1 2 --c2x1 2 --p2x1 0.042 --s3 3 --n3 4 --n3x0 0 --c3x0 2 --p3x0 0.753 --n3x1 0 --c3x1 4 --p3x1 9 --w3x1 11.23 --n3x2 1 --c3x2 5 --p3x2 0.746 --n3x3 0 --c3x3 4 --p3x3 2 --w3x3 1.02 ,45.345,7.33578e+32,44.054,7.12695e+32,44.0,47.0,45.0,42.0,55.0,44.0,43.0,48.0,51.0,45.0,45.0
--nstates 4 --s0 3 --n0 1 --n0x0 0 --c0x0 4 --p0x0 4 --w0x0 3.5 --s1 0 --rwm1 1 --n1 2 --n1x0 1 --c1x0 0 --p1x0 0.573 --n1x1 0 --c1x1 2 --p1x1 0.812 --s2 2 --n2 2 --n2x0 0 --c2x0 2 --p2x0 0.23 --n2x1 2 --c2x1 2 --p2x1 0.326 --s3 3 --n3 4 --n3x0 0 --c3x0 2 --p3x0 0.907 --n3x1 0 --c3x1 4 --p3x1 6 --w3x1 11.23 --n3x2 1 --c3x2 5 --p3x2 0.168 --n3x3 0 --c3x3 4 --p3x3 3 --w3x3 1.02 ,47.627,4.39002e+28,46.264,4.264319999999999e+28,52.0,52.0,54.0,50.0,50.0,49.0,47.0,52.0,58.0,48.0,51.0
--nstates 4 --s0 3 --n0 1 --n0x0 0 --c0x0 4 --p0x0 1 --w0x0 3.5 --s1 0 --rwm1 1 --n1 2 --n1x0 1 --c1x0 0 --p1x0 0.728 --n1x1 0 --c1x1 2 --p1x1 0.305 --s2 2 --n2 2 --n2x0 0 --c2x0 2 --p2x0 0.198 --n2x1 2 --c2x1 2 --p2x1 0.48 --s3 3 --n3 4 --n3x0 0 --c3x0 2 --p3x0 0.949 --n3x1 0 --c3x1 4 --p3x1 4 --w3x1 11.23 --n3x2 1 --c3x2 5 --p3x2 0.786 --n3x3 0 --c3x3 4 --p3x3 5 --w3x3 1.02 ,47.524,0.08,46.192,0.077,49.0,52.0,50.0,48.0,55.0,54.0,47.0,52.0,52.0,49.0,51.0
--nstates 4 --s0 3 --n0 1 --n0x0 0 --c0x0 4 --p0x0 5 --w0x0 3.5 --s1 0 --rwm1 1 --n1 2 --n1x0 1 --c1x0 0 --p1x0 0.476 --n1x1 0 --c1x1 2 --p1x1 0.17 --s2 2 --n2 2 --n2x0 0 --c2x0 2 --p2x0 0.005 --n2x1 2 --c2x1 2 --p2x1 0.595 --s3 3 --n3 4 --n3x0 0 --c3x0 2 --p3x0 0.56 --n3x1 0 --c3x1 4 --p3x1 8 --w3x1 11.23 --n3x2 1 --c3x2 5 --p3x2 0.164 --n3x3 0 --c3x3 4 --p3x3 2 --w3x3 1.02 ,48.41,0.071,47.037,0.069,49.0,44.0,46.0,51.0,52.0,41.0,44.0,45.0,45.0,45.0,45.0
--nstates 4 --s0 3 --n0 1 --n0x0 0 --c0x0 4 --p0x0 7 --w0x0 3.5 --s1 0 --rwm1 1 --n1 2 --n1x0 1 --c1x0 0 --p1x0 0.067 --n1x1 0 --c1x1 2 --p1x1 0.979 --s2 2 --n2 2 --n2x0 0 --c2x0 2 --p2x0 0.126 --n2x1 2 --c2x1 2 --p2x1 0.821 --s3 3 --n3 4 --n3x0 0 --c3x0 2 --p3x0 0.753 --n3x1 0 --c3x1 4 --p3x1 7 --w3x1 11.23 --n3x2 1 --c3x2 5 --p3x2 0.898 --n3x3 0 --c3x3 4 --p3x3 4 --w3x3 1.02 ,47.226,2.25666e+35,45.875,2.19211e+35,41.0,42.0,49.0,43.0,47.0,43.0,45.0,48.0,47.0,48.0,46.0
--nstates 4 --s0 3 --n0 1 --n0x0 0 --c0x0 4 --p0x0 8 --w0x0 3.5 --s1 0 --rwm1 1 --n1 2 --n1x0 1 --c1x0 0 --p1x0 0.685 --n1x1 0 --c1x1 2 --p1x1 0.355 --s2 2 --n2 2 --n2x0 0 --c2x0 2 --p2x0 0.819 --n2x1 2 --c2x1 2 --p2x1 0.547 --s3 3 --n3 4 --n3x0 0 --c3x0 2 --p3x0 0.092 --n3x1 0 --c3x1 4 --p3x1 9 --w3x1 11.23 --n3x2 1 --c3x2 5 --p3x2 0.275 --n3x3 0 --c3x3 4 --p3x3 2 --w3x3 1.02 ,45.872,0.634,47.927,0.662,54.0,51.0,55.0,50.0,50.0,50.0,49.0,50.0,51.0,50.0,50.0
--nstates 4 --s0 3 --n0 1 --n0x0 0 --c0x0 4 --p0x0 9 --w0x0 3.5 --s1 0 --rwm1 1 --n1 2 --n1x0 1 --c1x0 0 --p1x0 0.845 --n1x1 0 --c1x1 2 --p1x1 0.561 --s2 2 --n2 2 --n2x0 0 --c2x0 2 --p2x0 0.718 --n2x1 2 --c2x1 2 --p2x1 0.116 --s3 3 --n3 4 --n3x0 0 --c3x0 2 --p3x0 0.979 --n3x1 0 --c3x1 4 --p3x1 2 --w3x1 11.23 --n3x2 1 --c3x2 5 --p3x2 0.459 --n3x3 0 --c3x3 4 --p3x3 1 --w3x3 1.02 ,45.746,53618200000.0,44.445,52093300000.0,50.0,50.0,57.0,54.0,49.0,49.0,49.0,58.0,46.0,56.0,50.0
--nstates 4 --s0 3 --n0 1 --n0x0 0 --c0x0 4 --p0x0 4 --w0x0 3.5 --s1 0 --rwm1 1 --n1 2 --n1x0 1 --c1x0 0 --p1x0 0.883 --n1x1 0 --c1x1 2 --p1x1 0.102 --s2 2 --n2 2 --n2x0 0 --c2x0 2 --p2x0 0.244 --n2x1 2 --c2x1 2 --p2x1 0.421 --s3 3 --n3 4 --n3x0 0 --c3x0 2 --p3x0 0.478 --n3x1 0 --c3x1 4 --p3x1 3 --w3x1 11.23 --n3x2 1 --c3x2 5 --p3x2 0.415 --n3x3 0 --c3x3 4 --p3x3 7 --w3x3 1.02 ,48.226,0.057,46.827,0.055,52.0,41.0,48.0,47.0,51.0,55.0,39.0,48.0,45.0,45.0,47.5
--nstates 4 --s0 3 --n0 1 --n0x0 0 --c0x0 4 --p0x0 10 --w0x0 3.5 --s1 0 --rwm1 1 --n1 2 --n1x0 1 --c1x0 0 --p1x0 0.667 --n1x1 0 --c1x1 2 --p1x1 0.279 --s2 2 --n2 2 --n2x0 0 --c2x0 2 --p2x0 0.937 --n2x1 2 --c2x1 2 --p2x1 0.255 --s3 3 --n3 4 --n3x0 0 --c3x0 2 --p3x0 0.713 --n3x1 0 --c3x1 4 --p3x1 10 --w3x1 11.23 --n3x2 1 --c3x2 5 --p3x2 0.308 --n3x3 0 --c3x3 4 --p3x3 6 --w3x3 1.02 ,46.312,0.103,46.947,0.104,51.0,51.0,44.0,45.0,51.0,46.0,39.0,50.0,47.0,43.0,46.5
--nstates 4 --s0 3 --n0 1 --n0x0 0 --c0x0 4 --p0x0 5 --w0x0 3.5 --s1 0 --rwm1 1 --n1 2 --n1x0 1 --c1x0 0 --p1x0 0.338 --n1x1 0 --c1x1 2 --p1x1 0.901 --s2 2 --n2 2 --n2x0 0 --c2x0 2 --p2x0 0.719 --n2x1 2 --c2x1 2 --p2x1 0.531 --s3 3 --n3 4 --n3x0 0 --c3x0 2 --p3x0 0.979 --n3x1 0 --c3x1 4 --p3x1 7 --w3x1 11.23 --n3x2 1 --c3x2 5 --p3x2 0.148 --n3x3 0 --c3x3 4 --p3x3 2 --w3x3 1.02 ,48.517,2.17499e+33,47.125,2.11258e+33,46.0,44.0,51.0,49.0,41.0,46.0,46.0,48.0,41.0,49.0,46.0
--nstates 4 --s0 3 --n0 1 --n0x0 0 --c0x0 4 --p0x0 9 --w0x0 3.5 --s1 0 --rwm1 1 --n1 2 --n1x0 1 --c1x0 0 --p1x0 0.814 --n1x1 0 --c1x1 2 --p1x1 0.905 --s2 2 --n2 2 --n2x0 0 --c2x0 2 --p2x0 0.007 --n2x1 2 --c2x1 2 --p2x1 0.536 --s3 3 --n3 4 --n3x0 0 --c3x0 2 --p3x0 0.022 --n3x1 0 --c3x1 4 --p3x1 9 --w3x1 11.23 --n3x2 1 --c3x2 5 --p3x2 0.266 --n3x3 0 --c3x3 4 --p3x3 3 --w3x3 1.02 ,48.868,2.57496e+34,47.465,2.5010099999999996e+34,44.0,43.0,50.0,44.0,51.0,57.0,46.0,55.0,51.0,48.0,49.0
--nstates 4 --s0 3 --n0 1 --n0x0 0 --c0x0 4 --p0x0 1 --w0x0 3.5 --s1 0 --rwm1 1 --n1 2 --n1x0 1 --c1x0 0 --p1x0 0.83 --n1x1 0 --c1x1 2 --p1x1 0.699 --s2 2 --n2 2 --n2x0 0 --c2x0 2 --p2x0 0.021 --n2x1 2 --c2x1 2 --p2x1 0.717 --s3 3 --n3 4 --n3x0 0 --c3x0 2 --p3x0 0.127 --n3x1 0 --c3x1 4 --p3x1 7 --w3x1 11.23 --n3x2 1 --c3x2 5 --p3x2 0.462 --n3x3 0 --c3x3 4 --p3x3 5 --w3x3 1.02 ,51.14,74262600000.0,51.653,75006700000.0,46.0,55.0,40.0,50.0,47.0,61.0,53.0,54.0,60.0,49.0,51.5
--nstates 4 --s0 3 --n0 1 --n0x0 0 --c0x0 4 --p0x0 5 --w0x0 3.5 --s1 0 --rwm1 1 --n1 2 --n1x0 1 --c1x0 0 --p1x0 0.781 --n1x1 0 --c1x1 2 --p1x1 0.097 --s2 2 --n2 2 --n2x0 0 --c2x0 2 --p2x0 0.194 --n2x1 2 --c2x1 2 --p2x1 0.353 --s3 3 --n3 4 --n3x0 0 --c3x0 2 --p3x0 0.63 --n3x1 0 --c3x1 4 --p3x1 5 --w3x1 11.23 --n3x2 1 --c3x2 5 --p3x2 0.095 --n3x3 0 --c3x3 4 --p3x3 2 --w3x3 1.02 ,48.045,0.037,46.652,0.036,44.0,53.0,51.0,44.0,47.0,47.0,42.0,51.0,51.0,44.0,47.0
--nstates 4 --s0 3 --n0 1 --n0x0 0 --c0x0 4 --p0x0 5 --w0x0 3.5 --s1 0 --rwm1 1 --n1 2 --n1x0 1 --c1x0 0 --p1x0 0.369 --n1x1 0 --c1x1 2 --p1x1 0.86 --s2 2 --n2 2 --n2x0 0 --c2x0 2 --p2x0 0.022 --n2x1 2 --c2x1 2 --p2x1 0.139 --s3 3 --n3 4 --n3x0 0 --c3x0 2 --p3x0 0.712 --n3x1 0 --c3x1 4 --p3x1 3 --w3x1 11.23 --n3x2 1 --c3x2 5 --p3x2 0.878 --n3x3 0 --c3x3 4 --p3x3 7 --w3x3 1.02 ,45.654,6.86713e+29,44.354,6.67148e+29,52.0,46.0,53.0,52.0,46.0,47.0,43.0,50.0,44.0,50.0,48.5
--nstates 4 --s0 3 --n0 1 --n0x0 0 --c0x0 4 --p0x0 4 --w0x0 3.5 --s1 0 --rwm1 1 --n1 2 --n1x0 1 --c1x0 0 --p1x0 0.708 --n1x1 0 --c1x1 2 --p1x1 0.11 --s2 2 --n2 2 --n2x0 0 --c2x0 2 --p2x0 0.339 --n2x1 2 --c2x1 2 --p2x1 0.632 --s3 3 --n3 4 --n3x0 0 --c3x0 2 --p3x0 0.903 --n3x1 0 --c3x1 4 --p3x1 4 --w3x1 11.23 --n3x2 1 --c3x2 5 --p3x2 0.255 --n3x3 0 --c3x3 4 --p3x3 2 --w3x3 1.02 ,48.595,0.086,47.186,0.083,38.0,42.0,50.0,49.0,55.0,40.0,38.0,49.0,41.0,38.0,41.5
--nstates 4 --s0 3 --n0 1 --n0x0 0 --c0x0 4 --p0x0 4 --w0x0 3.5 --s1 0 --rwm1 1 --n1 2 --n1x0 1 --c1x0 0 --p1x0 0.245 --n1x1 0 --c1x1 2 --p1x1 0.809 --s2 2 --n2 2 --n2x0 0 --c2x0 2 --p2x0 0.503 --n2x1 2 --c2x1 2 --p2x1 0.111 --s3 3 --n3 4 --n3x0 0 --c3x0 2 --p3x0 0.262 --n3x1 0 --c3x1 4 --p3x1 1 --w3x1 11.23 --n3x2 1 --c3x2 5 --p3x2 0.738 --n3x3 0 --c3x3 4 --p3x3 6 --w3x3 1.02 ,45.395,1.15787e+26,44.103,1.1249e+26,57.0,52.0,45.0,43.0,51.0,54.0,48.0,40.0,53.0,52.0,51.5
--nstates 4 --s0 3 --n0 1 --n0x0 0 --c0x0 4 --p0x0 9 --w0x0 3.5 --s1 0 --rwm1 1 --n1 2 --n1x0 1 --c1x0 0 --p1x0 0.839 --n1x1 0 --c1x1 2 --p1x1 0.291 --s2 2 --n2 2 --n2x0 0 --c2x0 2 --p2x0 0.81 --n2x1 2 --c2x1 2 --p2x1 0.357 --s3 3 --n3 4 --n3x0 0 --c3x0 2 --p3x0 0.021 --n3x1 0 --c3x1 4 --p3x1 9 --w3x1 11.23 --n3x2 1 --c3x2 5 --p3x2 0.552 --n3x3 0 --c3x3 4 --p3x3 1 --w3x3 1.02 ,45.925,0.127,47.128,0.131,48.0,47.0,47.0,42.0,53.0,45.0,41.0,47.0,48.0,47.0,47.0
--nstates 4 --s0 3 --n0 1 --n0x0 0 --c0x0 4 --p0x0 10 --w0x0 3.5 --s1 0 --rwm1 1 --n1 2 --n1x0 1 --c1x0 0 --p1x0 0.76 --n1x1 0 --c1x1 2 --p1x1 0.414 --s2 2 --n2 2 --n2x0 0 --c2x0 2 --p2x0 0.448 --n2x1 2 --c2x1 2 --p2x1 0.215 --s3 3 --n3 4 --n3x0 0 --c3x0 2 --p3x0 0.685 --n3x1 0 --c3x1 4 --p3x1 5 --w3x1 11.23 --n3x2 1 --c3x2 5 --p3x2 0.701 --n3x3 0 --c3x3 4 --p3x3 5 --w3x3 1.02 ,42.86,4.651,48.376,5.249,51.0,42.0,40.0,49.0,48.0,44.0,42.0,54.0,50.0,50.0,48.5
--nstates 4 --s0 3 --n0 1 --n0x0 0 --c0x0 4 --p0x0 1 --w0x0 3.5 --s1 0 --rwm1 1 --n1 2 --n1x0 1 --c1x0 0 --p1x0 0.594 --n1x1 0 --c1x1 2 --p1x1 0.544 --s2 2 --n2 2 --n2x0 0 --c2x0 2 --p2x0 0.921 --n2x1 2 --c2x1 2 --p2x1 0.26 --s3 3 --n3 4 --n3x0 0 --c3x0 2 --p3x0 0.711 --n3x1 0 --c3x1 4 --p3x1 5 --w3x1 11.23 --n3x2 1 --c3x2 5 --p3x2 0.702 --n3x3 0 --c3x3 4 --p3x3 8 --w3x3 1.02 ,25.006,1477.97,48.053,2840.14,49.0,42.0,53.0,52.0,45.0,58.0,58.0,46.0,52.0,45.0,50.5
--nstates 4 --s0 3 --n0 1 --n0x0 0 --c0x0 4 --p0x0 1 --w0x0 3.5 --s1 0 --rwm1 1 --n1 2 --n1x0 1 --c1x0 0 --p1x0 0.453 --n1x1 0 --c1x1 2 --p1x1 0.393 --s2 2 --n2 2 --n2x0 0 --c2x0 2 --p2x0 0.905 --n2x1 2 --c2x1 2 --p2x1 0.269 --s3 3 --n3 4 --n3x0 0 --c3x0 2 --p3x0 0.913 --n3x1 0 --c3x1 4 --p3x1 6 --w3x1 11.23 --n3x2 1 --c3x2 5 --p3x2 0.12 --n3x3 0 --c3x3 4 --p3x3 6 --w3x3 1.02 ,46.604,0.038,46.263,0.037,51.0,43.0,42.0,43.0,54.0,44.0,48.0,47.0,43.0,50.0,45.5
--nstates 4 --s0 3 --n0 1 --n0x0 0 --c0x0 4 --p0x0 7 --w0x0 3.5 --s1 0 --rwm1 1 --n1 2 --n1x0 1 --c1x0 0 --p1x0 0.842 --n1x1 0 --c1x1 2 --p1x1 0.049 --s2 2 --n2 2 --n2x0 0 --c2x0 2 --p2x0 0.526 --n2x1 2 --c2x1 2 --p2x1 0.108 --s3 3 --n3 4 --n3x0 0 --c3x0 2 --p3x0 0.138 --n3x1 0 --c3x1 4 --p3x1 4 --w3x1 11.23 --n3x2 1 --c3x2 5 --p3x2 0.796 --n3x3 0 --c3x3 4 --p3x3 8 --w3x3 1.02 ,47.473,0.005,46.096,0.005,46.0,45.0,43.0,45.0,38.0,52.0,39.0,42.0,45.0,51.0,45.0
--nstates 4 --s0 3 --n0 1 --n0x0 0 --c0x0 4 --p0x0 8 --w0x0 3.5 --s1 0 --rwm1 1 --n1 2 --n1x0 1 --c1x0 0 --p1x0 0.429 --n1x1 0 --c1x1 2 --p1x1 0.076 --s2 2 --n2 2 --n2x0 0 --c2x0 2 --p2x0 0.328 --n2x1 2 --c2x1 2 --p2x1 0.908 --s3 3 --n3 4 --n3x0 0 --c3x0 2 --p3x0 0.69 --n3x1 0 --c3x1 4 --p3x1 4 --w3x1 11.23 --n3x2 1 --c3x2 5 --p3x2 0.337 --n3x3 0 --c3x3 4 --p3x3 3 --w3x3 1.02 ,48.12,0.045,46.724,0.044,44.0,31.0,41.0,40.0,40.0,56.0,41.0,41.0,41.0,44.0,41.0
--nstates 4 --s0 3 --n0 1 --n0x0 0 --c0x0 4 --p0x0 9 --w0x0 3.5 --s1 0 --rwm1 1 --n1 2 --n1x0 1 --c1x0 0 --p1x0 0.444 --n1x1 0 --c1x1 2 --p1x1 0.513 --s2 2 --n2 2 --n2x0 0 --c2x0 2 --p2x0 0.967 --n2x1 2 --c2x1 2 --p2x1 0.799 --s3 3 --n3 4 --n3x0 0 --c3x0 2 --p3x0 0.814 --n3x1 0 --c3x1 4 --p3x1 5 --w3x1 11.23 --n3x2 1 --c3x2 5 --p3x2 0.193 --n3x3 0 --c3x3 4 --p3x3 6 --w3x3 1.02 ,50.377,70055100.0,48.935,68049800.0,43.0,48.0,56.0,51.0,51.0,52.0,41.0,45.0,46.0,46.0,47.0
--nstates 4 --s0 3 --n0 1 --n0x0 0 --c0x0 4 --p0x0 7 --w0x0 3.5 --s1 0 --rwm1 1 --n1 2 --n1x0 1 --c1x0 0 --p1x0 0.703 --n1x1 0 --c1x1 2 --p1x1 0.065 --s2 2 --n2 2 --n2x0 0 --c2x0 2 --p2x0 0.944 --n2x1 2 --c2x1 2 --p2x1 0.381 --s3 3 --n3 4 --n3x0 0 --c3x0 2 --p3x0 0.152 --n3x1 0 --c3x1 4 --p3x1 10 --w3x1 11.23 --n3x2 1 --c3x2 5 --p3x2 0.882 --n3x3 0 --c3x3 4 --p3x3 8 --w3x3 1.02 ,47.746,0.021,46.361,0.02,44.0,37.0,46.0,44.0,38.0,49.0,42.0,42.0,51.0,42.0,43.0
--nstates 4 --s0 3 --n0 1 --n0x0 0 --c0x0 4 --p0x0 6 --w0x0 3.5 --s1 0 --rwm1 1 --n1 2 --n1x0 1 --c1x0 0 --p1x0 0.781 --n1x1 0 --c1x1 2 --p1x1 0.474 --s2 2 --n2 2 --n2x0 0 --c2x0 2 --p2x0 0.888 --n2x1 2 --c2x1 2 --p2x1 0.264 --s3 3 --n3 4 --n3x0 0 --c3x0 2 --p3x0 0.373 --n3x1 0 --c3x1 4 --p3x1 7 --w3x1 11.23 --n3x2 1 --c3x2 5 --p3x2 0.635 --n3x3 0 --c3x3 4 --p3x3 4 --w3x3 1.02 ,45.98,4631.27,46.607,4694.42,49.0,45.0,41.0,45.0,54.0,52.0,48.0,46.0,50.0,48.0,48.0
--nstates 4 --s0 3 --n0 1 --n0x0 0 --c0x0 4 --p0x0 4 --w0x0 3.5 --s1 0 --rwm1 1 --n1 2 --n1x0 1 --c1x0 0 --p1x0 0.149 --n1x1 0 --c1x1 2 --p1x1 0.667 --s2 2 --n2 2 --n2x0 0 --c2x0 2 --p2x0 0.785 --n2x1 2 --c2x1 2 --p2x1 0.095 --s3 3 --n3 4 --n3x0 0 --c3x0 2 --p3x0 0.422 --n3x1 0 --c3x1 4 --p3x1 2 --w3x1 11.23 --n3x2 1 --c3x2 5 --p3x2 0.878 --n3x3 0 --c3x3 4 --p3x3 8 --w3x3 1.02 ,45.359,1.93188e+16,44.068,1.87689e+16,44.0,47.0,43.0,46.0,45.0,57.0,46.0,47.0,40.0,52.0,46.0
--nstates 4 --s0 3 --n0 1 --n0x0 0 --c0x0 4 --p0x0 7 --w0x0 3.5 --s1 0 --rwm1 1 --n1 2 --n1x0 1 --c1x0 0 --p1x0 0.315 --n1x1 0 --c1x1 2 --p1x1 0.396 --s2 2 --n2 2 --n2x0 0 --c2x0 2 --p2x0 0.855 --n2x1 2 --c2x1 2 --p2x1 0.681 --s3 3 --n3 4 --n3x0 0 --c3x0 2 --p3x0 0.299 --n3x1 0 --c3x1 4 --p3x1 10 --w3x1 11.23 --n3x2 1 --c3x2 5 --p3x2 0.778 --n3x3 0 --c3x3 4 --p3x3 1 --w3x3 1.02 ,42.885,1.365,48.146,1.533,53.0,52.0,48.0,48.0,52.0,47.0,42.0,47.0,51.0,53.0,49.5
